단어,뜻
patience [péiʃəns],인내심
patient [péiʃənt],인내심이 강한; 환자
disease [dizíːz],질병
injure [índʒǝr],"상처를 입히다, 손상시키다"
scar [skɑːr],"상처, 흉터"
fever [fíːvǝr],"열, 발열"
ache [eik],"아프다; 아픔, 통증"
toothache [túːθèik],치통
stomach [stʌ́mǝk],"위, 복부"
stomachache [stʌ́mǝkèik],복통
cancer [kǽnsǝr],암
miracle [mírǝkəl],기적
silk [silk],비단
examine [igzǽmin],"검사하다, 조사하다; 시험하다"
spring [spriŋ],샘물; 봄; 용수철; 튀어오르다
foreign [fɔ́(ː)ri],외국의
feather [féðǝr],"깃털, 깃"
pulse [pʌls],"맥박, 맥"
soar [sɔːr],솟아오르다 
sore [sɔːr],"아픈, 쓰라린"
sour [sáuǝr],시큼한
object [άbdʒikt],"물체, 대상; 목적; 반대하다(~ to)"
subject [sʌ́bdʒikt],"과목; 주제; 국민, 신하; 피실험자"
project [prǝdʒékt],"계획(안), 설계; 과제"
thumb [θʌm],엄지손가락
appoint [ǝpɔ́int],"지명하다, 임명하다; (날짜 등) 정하다"
appointment [ǝpɔ́intmǝnt],"약속; 임명, 지명"
canal [kǝnǽl],"수로, 운하"
represent [rèprizént],"대표하다; 보여주다, 설명하다"
seek [siːk],"추구하다, 찾다"
tradition [trǝdíʃən],전통
positive [pάzǝtiv],긍정적인; 적극적인; 양성의
negative [négǝtiv],부정적인; 소극적인; 음성의
cure [kjuǝr],"치료, 치료하다"
heal [hiːl],치료하다
mushroom [mʌ́ʃru(ː)m],버섯
warn [wɔːrn],경고하다
scale [skeil],"눈금, 축척; 규모; 등급, 단계"
refrigerator [rifrídʒǝrèitǝr],냉장고
gain [gein],"얻다, 획득하다"
sigh [sai],한숨; 한숨 쉬다
haste [heist],"서두름, 급함"
plain [plein],분명한; 솔직한; 순수한; 간단한
familiar [fǝmíljǝr],"친밀한; 낯익은, 익숙한"
store [stɔːr],"저장하다, 비축하다; 저장, 비축"
climate [kláimit],"기후; 풍토, 분위기"
fiber [fáibǝr],"섬유, 실"
fur [fǝːr],"모피, 털"
thirsty [θə́ːrsti],목마른
filter [fíltǝr],"여과기, 여과하다"
